,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,collision,source
34432,GENE ID:23584,VSIG2,CTH,HGNC:17149,ENSG00000019102,CTH,NCBI
82472,GENE ID:100528016,TMX2-CTNND1,CTNND1,HGNC:41992,ENSG00000288534,CTNND1,NCBI
4483,GENE ID:1513,CTSK,CTSO,HGNC:2536,ENSG00000143387,CTSO,NCBI
82578,GENE ID:100533195,FAM24B-CUZD1,CUZD1,,ENSG00000286088,CUZD1,NCBI
75788,GENE ID:100132994,CXorf49B,CXorf49,HGNC:34229,ENSG00000215113,CXORF49,NCBI
74962,GENE ID:100130361,CXorf49,CXorf49B,HGNC:30891,ENSG00000215115,CXORF49B,NCBI
75803,GENE ID:100133053,CXorf51B,CXorf51A,HGNC:42787,ENSG00000235699,CXORF51A,NCBI
74507,GENE ID:100129239,CXorf51A,CXorf51B,HGNC:30533,ENSG00000224440,CXORF51B,NCBI
31606,GENE ID:10983,CCNI,CYC1,HGNC:1595,ENSG00000118816,CYC1,NCBI
4625,GENE ID:1555,CYP2B6,CYP2B7P,HGNC:2615,ENSG00000197408,CYP2B7P,NCBI
4655,GENE ID:1564,CYP2D7,CYP2D6,HGNC:2624,,CYP2D6,NCBI
4666,GENE ID:1565,CYP2D6,CYP2D7BP,HGNC:2625,ENSG00000100197,CYP2D7BP,NCBI
33000,GENE ID:22952,CYP2G1P,CYP2G2P,HGNC:2633,ENSG00000290611,CYP2G2P,NCBI
83509,GENE ID:100861540,CYP3A7-CYP3A51P,CYP3A7,HGNC:51504,ENSG00000282301,CYP3A7,NCBI
54600,GENE ID:115209,OMA1,DAB1,HGNC:29661,ENSG00000162600,DAB1,NCBI
63910,GENE ID:352909,DNAAF3,DAB1,HGNC:30492,ENSG00000167646,DAB1,NCBI
76,GENE ID:26,AOC1,DAO,HGNC:80,ENSG00000002726,DAO,NCBI
9857,GENE ID:3375,IAPP,DAP,HGNC:5329,ENSG00000121351,DAP,NCBI
34350,GENE ID:23549,DNPEP,DAP,HGNC:2981,ENSG00000123992,DAP,NCBI
46755,GENE ID:58512,DLGAP3,DAP3,HGNC:30368,ENSG00000116544,DAP3,NCBI
2009,GENE ID:706,TSPO,DBI,HGNC:1158,ENSG00000100300,DBI,NCBI
9612,GENE ID:3295,HSD17B4,DBP,HGNC:5213,ENSG00000133835,DBP,NCBI
7557,GENE ID:2638,GC,DBP,HGNC:4187,ENSG00000145321,DBP,NCBI
40200,GENE ID:51181,DCXR,DCR,HGNC:18985,ENSG00000169738,DCR,NCBI
73666,GENE ID:100037417,DDTL,DDT,HGNC:33446,ENSG00000099974,DDT,NCBI
77930,GENE ID:100287029,DDX11L10,DDX11L1,HGNC:14125,ENSG00000290355,DDX11L1,NCBI
42263,GENE ID:54606,DDX56,DDX21,HGNC:18193,ENSG00000136271,DDX21,NCBI
58472,GENE ID:158067,AK8,DDX31,HGNC:26526,ENSG00000165695,DDX31,NCBI
5008,GENE ID:1671,DEFA6,DEF6,HGNC:2765,ENSG00000164822,DEF6,NCBI
69629,GENE ID:613253,DEFA1A3,DEFA1,HGNC:32231,,DEFA1,NCBI
69630,GENE ID:613253,DEFA1A3,DEFA3,HGNC:32231,,DEFA3,NCBI
69150,GENE ID:503694,DEFB108A,DEFB108B,HGNC:18089,,DEFB108B,NCBI
67080,GENE ID:403339,DEFB133,DEFB134,HGNC:31331,ENSG00000214643,DEFB134,NCBI
69624,GENE ID:613209,DEFB135,DEFB136,HGNC:32400,ENSG00000205883,DEFB136,NCBI
69631,GENE ID:613253,DEFA1A3,DEFT1P,HGNC:32231,,DEFT1P,NCBI
42750,GENE ID:54921,CHTF8,DERPC,HGNC:24353,ENSG00000168802,DERPC,NCBI
39787,GENE ID:51029,DESI2,DESI1,HGNC:24264,ENSG00000121644,DESI1,NCBI
37316,GENE ID:27351,DESI1,DESI2,HGNC:24577,ENSG00000100418,DESI2,NCBI
20323,GENE ID:6899,TBX1,DGCR,HGNC:11592,ENSG00000184058,DGCR,NCBI
52802,GENE ID:85359,DGCR6L,DGCR6,HGNC:18551,ENSG00000128185,DGCR6,NCBI
5071,GENE ID:1719,DHFR,DHFRP1,HGNC:2861,ENSG00000228716,DHFRP1,NCBI
16356,GENE ID:5669,PSG1,DHFRP2,HGNC:9514,ENSG00000231924,DHFRP2,NCBI
71569,GENE ID:653645,TBC1D3P1-DHX40P1,DHX40P1,HGNC:42362,ENSG00000267104,DHX40P1,NCBI
31919,GENE ID:11083,DIDO1,DIO1,HGNC:2680,ENSG00000101191,DIO1,NCBI
86331,GENE ID:101928327,TESHL,DIRC3-AS1,HGNC:52740,ENSG00000223874,DIRC3-AS1,NCBI
24896,GENE ID:8655,DYNLL1,DLC1,HGNC:15476,ENSG00000088986,DLC1,NCBI
28440,GENE ID:9940,DLEC1,DLC1,HGNC:2899,ENSG00000008226,DLC1,NCBI
46903,GENE ID:60343,FAM3A,DLD,HGNC:13749,ENSG00000071889,DLD,NCBI
59387,GENE ID:197257,LDHD,DLD,HGNC:19708,ENSG00000166816,DLD,NCBI
29557,GENE ID:10301,DLEU1,DLEU2,HGNC:13747,ENSG00000176124,DLEU2,NCBI
12804,GENE ID:4355,MPP2,DLG2,HGNC:7220,ENSG00000108852,DLG2,NCBI
12805,GENE ID:4356,MPP3,DLG3,HGNC:7221,ENSG00000161647,DLG3,NCBI
11780,GENE ID:3996,LLGL1,DLG4,HGNC:6628,ENSG00000131899,DLG4,NCBI
61625,GENE ID:283987,HID1,DMC1,HGNC:15736,ENSG00000167861,DMC1,NCBI
28574,GENE ID:9988,DMTF1,DMP1,HGNC:14603,ENSG00000135164,DMP1,NCBI
1233,GENE ID:420,ART4,DOK1,HGNC:726,ENSG00000111339,DOK1,NCBI
66423,GENE ID:400206,DPPA3P2,DPPA3,HGNC:20417,,DPPA3,NCBI
39393,GENE ID:49860,CRNN,DRC1,HGNC:1230,ENSG00000143536,DRC1,NCBI
42631,GENE ID:54869,EPS8L1,DRC3,HGNC:21295,ENSG00000131037,DRC3,NCBI
29816,GENE ID:10397,NDRG1,DRG1,HGNC:7679,ENSG00000104419,DRG1,NCBI
40991,GENE ID:51534,VTA1,DRG1,HGNC:20954,ENSG00000009844,DRG1,NCBI
5361,GENE ID:1808,DPYSL2,DRP2,HGNC:3014,ENSG00000092964,DRP2,NCBI
5422,GENE ID:1827,RCAN1,DSC1,HGNC:3040,ENSG00000159200,DSC1,NCBI
5413,GENE ID:1825,DSC3,DSC1,HGNC:3037,ENSG00000134762,DSC1,NCBI
5414,GENE ID:1825,DSC3,DSC2,HGNC:3037,ENSG00000134762,DSC2,NCBI
5410,GENE ID:1824,DSC2,DSC3,HGNC:3036,ENSG00000134755,DSC3,NCBI
5452,GENE ID:1834,DSPP,DSP,HGNC:3054,ENSG00000152591,DSP,NCBI
30742,GENE ID:10673,TNFSF13B,DTL,HGNC:11929,ENSG00000102524,DTL,NCBI
32414,GENE ID:11266,DUSP12,DUSP1,HGNC:3067,ENSG00000081721,DUSP1,NCBI
54563,GENE ID:114971,PTPMT1,DUSP23,HGNC:26965,ENSG00000110536,DUSP23,NCBI
61987,GENE ID:285193,DUSP28,DUSP26,HGNC:33237,ENSG00000188542,DUSP26,NCBI
36153,GENE ID:26581,DUX5,DUX1,HGNC:3083,,DUX1,NCBI
72526,GENE ID:728410,DUX4L2,DUX4,HGNC:37267,ENSG00000280457,DUX4,NCBI
32987,GENE ID:22947,DUX4L1,DUX4,HGNC:3082,ENSG00000280757,DUX4,NCBI
23344,GENE ID:8215,DVL1P1,DVL1,HGNC:3085,,DVL1,NCBI
5508,GENE ID:1855,DVL1,DVL1P1,HGNC:3084,ENSG00000107404,DVL1P1,NCBI
31172,GENE ID:10847,SRCAP,EAF1,HGNC:16974,ENSG00000080603,EAF1,NCBI
44690,GENE ID:55929,DMAP1,EAF2,HGNC:18291,ENSG00000178028,EAF2,NCBI
32932,GENE ID:22924,MAPRE3,EBF3,HGNC:6892,ENSG00000084764,EBF3,NCBI
7837,GENE ID:2720,GLB1,EBP,HGNC:4298,ENSG00000170266,EBP,NCBI
58143,GENE ID:152503,SH3D19,EBP,HGNC:30418,ENSG00000109686,EBP,NCBI
22977,GENE ID:7979,SEM1,ECD,HGNC:10845,ENSG00000127922,ECD,NCBI
102798,GENE ID:110599583,EEF1AKMT4-ECE2,ECE2,HGNC:53615,ENSG00000284917,ECE2,NCBI
27871,GENE ID:9718,ECE2,EEF1AKMT4,HGNC:13275,ENSG00000145194,EEF1AKMT4,NCBI
5684,GENE ID:1942,EFNA1,EFL1,HGNC:3221,ENSG00000169242,EFL1,NCBI
82541,GENE ID:100529264,RAB4B-EGLN2,EGLN2,HGNC:44465,,EGLN2,NCBI
62017,GENE ID:285266,ENTPD3-AS1,EIF1B-AS1,HGNC:26710,ENSG00000280739,EIF1B-AS1,NCBI
5788,GENE ID:1965,EIF2S1,EIF2A,HGNC:3265,ENSG00000134001,EIF2A,NCBI
16190,GENE ID:5610,EIF2AK2,EIF2AK1,HGNC:9437,ENSG00000055332,EIF2AK1,NCBI
10730,GENE ID:3692,EIF6,EIF3A,HGNC:6159,ENSG00000242372,EIF3A,NCBI
24929,GENE ID:8663,EIF3C,EIF3CL,HGNC:3279,ENSG00000184110,EIF3CL,NCBI
57165,GENE ID:143244,EIF5AL1,EIF5A,HGNC:17419,ENSG00000253626,EIF5A,NCBI
51852,GENE ID:84337,ELOF1,ELF1,HGNC:28691,ENSG00000130165,ELF1,NCBI
34020,GENE ID:23415,KCNH4,ELK1,HGNC:6253,ENSG00000089558,ELK1,NCBI
56250,GENE ID:131096,KCNH8,ELK1,HGNC:18864,ENSG00000183960,ELK1,NCBI
56252,GENE ID:131096,KCNH8,elk3,HGNC:18864,ENSG00000183960,ELK3,NCBI
75155,GENE ID:100130933,ERLN,ELN,HGNC:40032,ENSG00000259120,ELN,NCBI
72774,GENE ID:728929,ELOA3BP,ELOA3CP,HGNC:31007,ENSG00000288607,ELOA3CP,NCBI
31717,GENE ID:11014,KDELR2,ELP1,HGNC:6305,ENSG00000136240,ELP1,NCBI
22284,GENE ID:7514,XPO1,emb,HGNC:12825,ENSG00000082898,EMB,NCBI
49306,GENE ID:79812,MMRN2,EMILIN3,HGNC:19888,ENSG00000173269,EMILIN3,NCBI
5939,GENE ID:2023,ENO1,ENO1-IT1,HGNC:3350,ENSG00000074800,ENO1-IT1,NCBI
64543,GENE ID:378884,NHLRC1,EPM2A,HGNC:21576,ENSG00000187566,EPM2A,NCBI
23479,GENE ID:8288,EPX,EPO,HGNC:3423,ENSG00000121053,EPO,NCBI
20992,GENE ID:7076,TIMP1,EPO,HGNC:11820,ENSG00000102265,EPO,NCBI
11406,GENE ID:3857,KRT9,EPPK1,HGNC:6447,ENSG00000171403,EPPK1,NCBI
6195,GENE ID:2107,ETF1,ERF,HGNC:3477,ENSG00000120705,ERF,NCBI
74624,GENE ID:100129515,ETDB,ETDA,HGNC:44269,ENSG00000224107,ETDA,NCBI
33679,GENE ID:23265,EXOC7,EXOC1,HGNC:23214,ENSG00000182473,EXOC1,NCBI
50981,GENE ID:83541,FAM110A,F10,HGNC:16188,ENSG00000125898,F10,NCBI
44368,GENE ID:55795,PCID2,F10,HGNC:25653,ENSG00000126226,F10,NCBI
53214,GENE ID:90338,ZNF160,F11,HGNC:12948,ENSG00000170949,F11,NCBI
24260,GENE ID:8458,TTF2,F2,HGNC:12398,ENSG00000116830,F2,NCBI
3794,GENE ID:1272,CNTN1,F3,HGNC:2171,ENSG00000018236,F3,NCBI
48636,GENE ID:79152,FA2H,FAAH,HGNC:21197,ENSG00000103089,FAAH,NCBI
65012,GENE ID:387934,FABP5P1,FABP5,HGNC:31059,,FABP5,NCBI
61139,GENE ID:266699,FABP5P11,FABP5P1,HGNC:19328,,FABP5P1,NCBI
13093,GENE ID:4593,MUSK,FADS1,HGNC:7525,ENSG00000030304,FADS1,NCBI
17073,GENE ID:5913,RAPSN,FADS2,HGNC:9863,ENSG00000165917,FADS2,NCBI
62080,GENE ID:285489,DOK7,FADS3,HGNC:26594,ENSG00000175920,FADS3,NCBI
11771,GENE ID:3992,FADS1,FADS6,HGNC:3574,ENSG00000149485,FADS6,NCBI
6359,GENE ID:2175,FANCA,FAH,HGNC:3582,ENSG00000187741,FAH,NCBI
70674,GENE ID:645520,FAM138A,FAM138F,HGNC:32334,ENSG00000237613,FAM138F,NCBI
91263,GENE ID:105373251,FAM236D,FAM236C,HGNC:52642,ENSG00000225396,FAM236C,NCBI
101702,GENE ID:109729126,FAM236C,FAM236D,HGNC:52641,ENSG00000283594,FAM236D,NCBI
75759,GENE ID:100132929,FAM25BP,FAM25A,HGNC:23584,ENSG00000290780,FAM25A,NCBI
75815,GENE ID:100133093,FAM25G,FAM25A,HGNC:23590,ENSG00000189090,FAM25A,NCBI
75817,GENE ID:100133093,FAM25G,FAM25C,HGNC:23590,ENSG00000189090,FAM25C,NCBI
75761,GENE ID:100132929,FAM25BP,FAM25C,HGNC:23584,ENSG00000290780,FAM25C,NCBI
75762,GENE ID:100132929,FAM25BP,FAM25G,HGNC:23584,ENSG00000290780,FAM25G,NCBI
83178,GENE ID:100631383,FAM47E-STBD1,FAM47E,HGNC:44667,ENSG00000272414,FAM47E,NCBI
74361,GENE ID:100128890,FAM66B,FAM66E,HGNC:28890,ENSG00000215374,FAM66E,NCBI
65383,GENE ID:389633,FAM90A25P,FAM90A2P,HGNC:32246,,FAM90A2P,NCBI
19486,GENE ID:6624,FSCN1,FAN1,HGNC:11148,ENSG00000075618,FAN1,NCBI
32077,GENE ID:11146,GLMN,FAP,HGNC:14373,ENSG00000174842,FAP,NCBI
3190,GENE ID:1056,CEL,FAP,HGNC:1848,ENSG00000170835,FAP,NCBI
6422,GENE ID:2194,FASN,FAS,HGNC:3594,ENSG00000169710,FAS,NCBI
42408,GENE ID:54751,FBLIM1,FBLP1,HGNC:24686,ENSG00000162458,FBLP1,NCBI
47705,GENE ID:64430,PCNX4,FBP2,HGNC:20349,ENSG00000126773,FBP2,NCBI
24591,GENE ID:8570,KHSRP,FBP2,HGNC:6316,ENSG00000088247,FBP2,NCBI
43517,GENE ID:55294,FBXW7,FBXO30,HGNC:16712,ENSG00000109670,FBXO30,NCBI
35854,GENE ID:26271,FBXO5,Fbxo31,HGNC:13584,ENSG00000112029,FBXO31,NCBI
6521,GENE ID:2213,FCGR2B,FCGR2C,HGNC:3618,ENSG00000072694,FCGR2C,NCBI
6544,GENE ID:2215,FCGR3B,FCGR3A,HGNC:3620,ENSG00000162747,FCGR3A,NCBI
52396,GENE ID:84824,FCRLA,FCRL1,HGNC:18504,ENSG00000132185,FCRL1,NCBI
55903,GENE ID:127943,FCRLB,FCRL2,HGNC:26431,ENSG00000162746,FCRL2,NCBI
52399,GENE ID:84824,FCRLA,FCRLb,HGNC:18504,ENSG00000132185,FCRLB,NCBI
45328,GENE ID:56929,FEM1C,FEM1A,HGNC:16933,ENSG00000145780,FEM1A,NCBI
32197,GENE ID:11178,LZTS1,FEZ1,HGNC:13861,ENSG00000061337,FEZ1,NCBI
44934,GENE ID:56246,MRAP,FGD2,HGNC:1304,ENSG00000170262,FGD2,NCBI
6665,GENE ID:2258,FGF13,FGF2,HGNC:3670,ENSG00000129682,FGF2,NCBI
8996,GENE ID:3075,CFH,FH,HGNC:4883,ENSG00000000971,FH,NCBI
11668,GENE ID:3949,LDLR,FH,HGNC:6547,ENSG00000130164,FH,NCBI
8997,GENE ID:3075,CFH,FHL1,HGNC:4883,ENSG00000000971,FHL1,NCBI
59611,GENE ID:201294,UNC13D,FHL3,HGNC:23147,ENSG00000092929,FHL3,NCBI
20017,GENE ID:6813,STXBP2,FHL5,HGNC:11445,ENSG00000076944,FHL5,NCBI
53377,GENE ID:91010,FMNL3,FHOD3,HGNC:23698,ENSG00000161791,FHOD3,NCBI
3455,GENE ID:1145,CHRNE,FIM1,HGNC:1966,ENSG00000108556,FIM1,NCBI
6683,GENE ID:2260,FGFR1,FLG,HGNC:3688,ENSG00000077782,FLG,NCBI
6913,GENE ID:2314,FLII,Fli1,HGNC:3750,ENSG00000177731,FLI1,NCBI
85164,GENE ID:100996928,FMC1-LUC7L2,FMC1,HGNC:44671,ENSG00000269955,FMC1,NCBI
6982,GENE ID:2329,FMO4,FMO2,HGNC:3772,ENSG00000076258,FMO2,NCBI
101474,GENE ID:108684022,FRAXA,FMR1,HGNC:3945,,FMR1,NCBI
95334,GENE ID:106478973,FMR1-IT1,FMR1,HGNC:41333,,FMR1,NCBI
82538,GENE ID:100529261,CHURC1-FNTB,FNTB,HGNC:42960,ENSG00000125954,FNTB,NCBI
7026,GENE ID:2350,FOLR2,FOLR1,HGNC:3793,ENSG00000165457,FOLR1,NCBI
62345,GENE ID:286380,FOXD4L3,FOXD4L4,HGNC:18523,ENSG00000187559,FOXD4L4,NCBI
78275,GENE ID:100288524,FOXL3-OT1,FOXL3,HGNC:54640,ENSG00000248767,FOXL3,NCBI
72941,GENE ID:729288,ZNF286B,FOXO3B,HGNC:33241,ENSG00000290687,FOXO3B,NCBI
55041,GENE ID:118924,FRA10AC1,FRA10A,HGNC:1162,ENSG00000148690,FRA10A,NCBI
2580,GENE ID:867,CBL,FRA11B,HGNC:1541,ENSG00000110395,FRA11B,NCBI
41407,GENE ID:51741,WWOX,FRA16D,HGNC:12799,ENSG00000186153,FRA16D,NCBI
6987,GENE ID:2332,FMR1,FRAXA,HGNC:3775,ENSG00000102081,FRAXA,NCBI
6992,GENE ID:2334,AFF2,FRAXE,HGNC:3776,ENSG00000155966,FRAXE,NCBI
72723,GENE ID:728798,FRMPD2B,FRMPD2,HGNC:16843,ENSG00000293529,FRMPD2,NCBI
100161,GENE ID:107985781,FSIP2-AS1,FSIP2-AS2,HGNC:40978,ENSG00000231646,FSIP2-AS2,NCBI
82574,GENE ID:100533181,FXYD6-FXYD2,FXYD6,HGNC:39978,ENSG00000255245,FXYD6,NCBI
23595,GENE ID:8326,FZD9,FZD3,HGNC:4047,ENSG00000188763,FZD3,NCBI
96221,GENE ID:106479861,RNU6-664P,FZD5,HGNC:47627,ENSG00000199251,FZD5,NCBI
23452,GENE ID:8266,UBL4A,G6PD,HGNC:12505,ENSG00000102178,G6PD,NCBI
56086,GENE ID:128869,PIGU,GAB1,HGNC:15791,ENSG00000101464,GAB1,NCBI
23598,GENE ID:8327,GABPAP,GABPB1,HGNC:4072,,GABPB1,NCBI
7383,GENE ID:2553,GABPB1,GABPB2,HGNC:4074,ENSG00000104064,GABPB2,NCBI
7356,GENE ID:2543,GAGE1,GAGE4,HGNC:4098,ENSG00000205777,GAGE4,NCBI
73527,GENE ID:100008586,GAGE12F,GAGE7,HGNC:31906,ENSG00000236362,GAGE7,NCBI
73002,GENE ID:729408,GAGE2D,GAGE8,HGNC:31959,,GAGE8,NCBI
36334,GENE ID:26749,GAGE2E,GAGE8,HGNC:31960,,GAGE8,NCBI
52968,GENE ID:85569,GALP,GAL,HGNC:24840,ENSG00000197487,GAL,NCBI
53020,GENE ID:89792,GAL3ST3,GAL3ST2,HGNC:24144,ENSG00000175229,GAL3ST2,NCBI
54937,GENE ID:117248,GALNT15,GALNT13,HGNC:21531,ENSG00000131386,GALNT13,NCBI
48956,GENE ID:79623,GALNT14,GALNT15,HGNC:22946,ENSG00000158089,GALNT15,NCBI
58971,GENE ID:168391,GALNTL5,GALNT15,HGNC:21725,ENSG00000106648,GALNT15,NCBI
64271,GENE ID:374378,GALNT18,GALNT15,HGNC:30488,ENSG00000110328,GALNT15,NCBI
47655,GENE ID:64409,GALNT17,GALNT16,HGNC:16347,ENSG00000185274,GALNT16,NCBI
68491,GENE ID:442117,GALNTL6,GALNT17,HGNC:33844,ENSG00000174473,GALNT17,NCBI
82486,GENE ID:100528030,POC1B-GALNT4,GALNT4,HGNC:42957,ENSG00000259075,GALNT4,NCBI
54938,GENE ID:117248,GALNT15,GALNT7,HGNC:21531,ENSG00000131386,GALNT7,NCBI
77024,GENE ID:100240709,GAPDHP44,GAPDH,HGNC:37801,,GAPDH,NCBI
3733,GENE ID:1258,CNGB1,GAR1,HGNC:2151,ENSG00000070729,GAR1,NCBI
12639,GENE ID:4297,KMT2A,GAS7,HGNC:7132,ENSG00000118058,GAS7,NCBI
49745,GENE ID:80142,PTGES2,GBF1,HGNC:17822,ENSG00000148334,GBF1,NCBI
39853,GENE ID:51062,ATL1,GBP3,HGNC:11231,ENSG00000198513,GBP3,NCBI
7546,GENE ID:2630,GBA1LP,GC,HGNC:4178,ENSG00000291137,GC,NCBI
16948,GENE ID:5871,MAP4K2,GCK,HGNC:6864,ENSG00000168067,GCK,NCBI
32207,GENE ID:11183,MAP4K5,GCKR,HGNC:6867,ENSG00000012983,GCKR,NCBI
83320,GENE ID:100820829,MYZAP,GCOM1,HGNC:43444,ENSG00000263155,GCOM1,NCBI
50507,GENE ID:81488,POLR2M,GCOM1,HGNC:14862,ENSG00000255529,GCOM1,NCBI
14387,GENE ID:5047,PAEP,GdA,HGNC:8573,ENSG00000122133,GDA,NCBI
23059,GENE ID:8034,SLC25A16,GDA,HGNC:10986,ENSG00000122912,GDA,NCBI
30825,GENE ID:10715,CERS1,GDF1,HGNC:14253,ENSG00000223802,GDF1,NCBI
39822,GENE ID:51053,GMNN,Gem,HGNC:17493,ENSG00000112312,GEM,NCBI
7950,GENE ID:2771,GNAI2,GIP,HGNC:4385,ENSG00000114353,GIP,NCBI
54531,GENE ID:114897,C1QTNF1,GIP,HGNC:14324,ENSG00000173918,GIP,NCBI
82458,GENE ID:100527950,GJA9-MYCBP,GJA10,,,GJA10,NCBI
50298,GENE ID:81025,GJA9,GJA10,HGNC:19155,ENSG00000131233,GJA10,NCBI
82459,GENE ID:100527950,GJA9-MYCBP,GJA9,,,GJA9,NCBI
45943,GENE ID:57369,GJD2,GJA9,HGNC:19154,ENSG00000159248,GJA9,NCBI
55580,GENE ID:125111,GJD3,GJC1,HGNC:19147,ENSG00000183153,GJC1,NCBI
63872,GENE ID:349149,GJC3,GJE1,HGNC:17495,ENSG00000176402,GJE1,NCBI
7587,GENE ID:2645,GCK,GK,HGNC:4195,ENSG00000106633,GK,NCBI
7448,GENE ID:2585,GALK2,GK2,HGNC:4119,ENSG00000156958,GK2,NCBI
25933,GENE ID:9027,NAT8,GLA,HGNC:18069,ENSG00000144035,GLA,NCBI
36961,GENE ID:27165,GLS2,GLS,HGNC:29570,ENSG00000135423,GLS,NCBI
8290,GENE ID:2894,GRID1,GluD1,HGNC:4575,ENSG00000182771,GLUD1,NCBI
8292,GENE ID:2895,GRID2,GluD2,HGNC:4576,ENSG00000152208,GLUD2,NCBI
61579,GENE ID:283856,GNAO1-DT,GNAO1-AS1,HGNC:27543,ENSG00000246379,GNAO1-AS1,NCBI
68008,GENE ID:440270,GOLGA8B,GOLGA5,HGNC:31973,ENSG00000215252,GOLGA5,NCBI
44605,GENE ID:55889,GOLGA6B,GOLGA6D,HGNC:32205,ENSG00000215186,GOLGA6D,NCBI
33110,GENE ID:23015,GOLGA8A,GOLGA8B,HGNC:31972,ENSG00000175265,GOLGA8B,NCBI
61562,GENE ID:283768,GOLGA8G,GOLGA8F,HGNC:25328,ENSG00000183629,GOLGA8F,NCBI
70167,GENE ID:643699,GOLGA8N,GOLGA8R,HGNC:44405,ENSG00000232653,GOLGA8R,NCBI
55895,GENE ID:127845,GOLT1A,GOT1,HGNC:24766,ENSG00000174567,GOT1,NCBI
39777,GENE ID:51026,GOLT1B,GOT1,HGNC:20175,ENSG00000111711,GOT1,NCBI
82437,GENE ID:100526833,SEPT5-GP1BB,GP1BB,,ENSG00000284874,GP1BB,NCBI
28648,GENE ID:10007,GNPDA1,GPI,HGNC:4417,ENSG00000113552,GPI,NCBI
8186,GENE ID:2865,FFAR3,GPR42,HGNC:4499,ENSG00000185897,GPR42,NCBI
71532,GENE ID:653519,GPR89A,GPR89B,HGNC:31984,ENSG00000117262,GPR89B,NCBI
82492,GENE ID:100528062,ARMCX5-GPRASP2,GPRASP3,HGNC:42000,ENSG00000286237,GPRASP3,NCBI
5329,GENE ID:1798,DPAGT1,GPT,HGNC:2995,ENSG00000172269,GPT,NCBI
8238,GENE ID:2882,GPX7,GPX6,HGNC:4559,ENSG00000116157,GPX6,NCBI
8325,GENE ID:2901,GRIK5,GRIK2,HGNC:4583,ENSG00000105737,GRIK2,NCBI
54447,GENE ID:114787,GPRIN1,GRIN1,HGNC:24835,ENSG00000169258,GRIN1,NCBI
52773,GENE ID:85329,LGALS12,GRIP1,HGNC:15788,ENSG00000133317,GRIP1,NCBI
30146,GENE ID:10499,NCOA2,GRIP1,HGNC:7669,ENSG00000140396,GRIP1,NCBI
38806,GENE ID:29094,LGALSL,GRP,HGNC:25012,ENSG00000119862,GRP,NCBI
34907,GENE ID:25804,LSM4,GRP,HGNC:17259,ENSG00000130520,GRP,NCBI
60076,GENE ID:221044,UCMA,GRP,HGNC:25205,ENSG00000165623,GRP,NCBI
32814,GENE ID:22878,TRAPPC8,GSG1,HGNC:29169,ENSG00000153339,GSG1,NCBI
16222,GENE ID:5621,PRNP,GSS,HGNC:9449,ENSG00000171867,GSS,NCBI
62416,GENE ID:286749,STON1-GTF2A1L,GTF2A1L,HGNC:30651,ENSG00000068781,GTF2A1L,NCBI
72481,GENE ID:728340,GTF2H2C,GTF2H2C_2,HGNC:31394,ENSG00000183474,GTF2H2C_2,NCBI
73715,GENE ID:100093631,GTF2IP4,GTF2I,HGNC:51716,ENSG00000293241,GTF2I,NCBI
65360,GENE ID:389524,GTF2IRD2B,GTF2IRD2,HGNC:33125,ENSG00000174428,GTF2IRD2,NCBI
106423,GENE ID:118142757,GUCA1ANB-GUCA1A,GUCA1A,HGNC:56129,ENSG00000290147,GUCA1A,NCBI
71400,GENE ID:653188,GUSBP3,GUSBP1,HGNC:37301,ENSG00000290560,GUSBP1,NCBI
64741,GENE ID:387036,GUSBP2,GUSBP4,HGNC:18792,ENSG00000290474,GUSBP4,NCBI
73690,GENE ID:100049076,GUSBP17,GUSBP9,HGNC:54970,,GUSBP9,NCBI
8699,GENE ID:2996,GYPE,GYPA,HGNC:4705,ENSG00000197465,GYPA,NCBI
8686,GENE ID:2994,GYPB,GYPA,HGNC:4703,ENSG00000250361,GYPA,NCBI
51159,GENE ID:83740,H2AB3,H2AB2,HGNC:14455,ENSG00000277745,H2AB2,NCBI
68944,GENE ID:474381,H2AB2,H2AB3,HGNC:18298,ENSG00000277858,H2AB3,NCBI
23610,GENE ID:8330,H2AC15,H2AC11,HGNC:4726,ENSG00000275221,H2AC11,NCBI
23623,GENE ID:8332,H2AC16,H2AC11,HGNC:4730,ENSG00000276903,H2AC11,NCBI
23646,GENE ID:8336,H2AC17,H2AC11,HGNC:4735,ENSG00000278677,H2AC11,NCBI
23602,GENE ID:8329,H2AC13,H2AC11,HGNC:4725,ENSG00000196747,H2AC11,NCBI
23647,GENE ID:8336,H2AC17,H2AC13,HGNC:4735,ENSG00000278677,H2AC13,NCBI
23611,GENE ID:8330,H2AC15,H2AC13,HGNC:4726,ENSG00000275221,H2AC13,NCBI
23624,GENE ID:8332,H2AC16,H2AC13,HGNC:4730,ENSG00000276903,H2AC13,NCBI
25802,GENE ID:8969,H2AC11,H2AC13,HGNC:4737,ENSG00000196787,H2AC13,NCBI
23612,GENE ID:8330,H2AC15,H2AC14,HGNC:4726,ENSG00000275221,H2AC14,NCBI
23603,GENE ID:8329,H2AC13,H2AC15,HGNC:4725,ENSG00000196747,H2AC15,NCBI
23625,GENE ID:8332,H2AC16,H2AC15,HGNC:4730,ENSG00000276903,H2AC15,NCBI
25803,GENE ID:8969,H2AC11,H2AC15,HGNC:4737,ENSG00000196787,H2AC15,NCBI
